chembl_id,generic_name,max_phase,mol_type,n_synonyms,brand_names,research_codes
CHEMBL3936761,zanubrutinib,4.0,Small molecule,9,brukinsa|zanubrutinib|zanubrutinib,bgb-3111
CHEMBL3948730,umbralisib,4.0,Small molecule,9,umbralisib|umbralisib,rp-5264|rp5264|tgr-1202 base|tgr-1202 free base
CHEMBL3950590,vabametkib,2.0,Small molecule,3,vabametkib,
CHEMBL39541,dolastatin-10,2.0,Small molecule,3,,
CHEMBL3963485,rogaratinib,2.0,Small molecule,4,rogaratinib,bay-1163877
CHEMBL39677,acridine,2.0,Small molecule,3,,nsc-3408
CHEMBL3975308,nuvisertib,2.0,Small molecule,9,nuvisertib,sgi-9481|sgi9481|tp-3654|tp3654
CHEMBL3977543,belvarafenib,2.0,Small molecule,2,belvarafenib,
CHEMBL397783,5-fluoronicotinic acid,3.0,Small molecule,2,,
CHEMBL398707,hydromorphone,4.0,Small molecule,13,hydromorphone|hydromorphone,ids-nh-004|n02aa03|nsc-19046
CHEMBL3988900,zinc oxide,4.0,Small molecule,25,anusol|curash|dr.elsoms|pate a l'eau|polano's,
CHEMBL398891,"thiourea, n-(5-bromo-2-pyridinyl)-n'-(2-(2-chloro-3-ethoxy-6-fluorophenyl)ethyl)-",2.0,Small molecule,1,,
CHEMBL3989401,pamidronate disodium,4.0,Small molecule,14,aredia|pamidronate disodium|pamidronate disodium,cgp 23339ae|cgp-23339ae
CHEMBL3989406,enalaprilat,4.0,Small molecule,14,enalaprilat|enalaprilat|enalaprilat|enalaprilat,mk-422|nsc-760053
CHEMBL3989478,thiethylperazine maleate,4.0,Small molecule,11,thiethylperazine maleate|torecan,gs-95|nsc-130044
CHEMBL3989496,tezacitabine,2.0,Small molecule,5,tezacitabine,fmd-c|fmdc
CHEMBL3989512,soblidotin,2.0,Small molecule,7,soblidotin,tzt-1027
CHEMBL3989514,irinotecan hydrochloride,4.0,Small molecule,24,campto|camptosar|irinotecan hydrochloride|irinotecan hydrochloride|irinotecan hydrochloride component of xeliri,"cpt-11|dq-2805|nsc-759878|u-101,440e|u-101440e"
CHEMBL3989520,histamine phosphate,4.0,Small molecule,4,histamine phosphate,
CHEMBL3989555,meclizine hydrochloride,4.0,Small molecule,24,ancoloxin|antivert|bonine|meclizine hydrochloride|sea-legs,nsc-28728|nsc-757094|ucb-5062
CHEMBL3989569,ibandronate sodium,4.0,Small molecule,28,bondenza (previously ibandronic acid roche)|bondronat|boniva|bonviva|destara,bm-21.0955|bm-210955|bm 21.0955 na h20|nsc-759815
CHEMBL3989689,squalamine lactate,3.0,Small molecule,4,squalamine lactate,msi-1256f
CHEMBL3989727,vitamin e,4.0,Unknown,69,aquasol e|bio-e-vit|davina|e-caps|fort-e-vite,e-307a|ins-307a|ins no.307a|j203.513h|j24.260h
CHEMBL3989751,neomycin,4.0,Unknown,14,neomycin|neomycin,
CHEMBL3989759,exatecan mesylate,3.0,Small molecule,7,exatecan mesylate,dx-8951f
CHEMBL3989824,thiothixene hydrochloride,4.0,Small molecule,12,navane|thiothixene hydrochloride|thiothixene hydrochloride|thiothixene hydrochloride intensol,"cp-12,252-1|cp-122521"
CHEMBL3989857,magnesium sulfate,4.0,Small molecule,21,magnesium sulfate|magnesium sulfate component of suclear|magnesium sulfate component of suflave|magnesium sulfate component of sutab|magnesium sulfate component of tis-u-sol,
CHEMBL3989865,mipsagargin,2.0,Small molecule,6,mipsagargin|mipsagargin,g-202
CHEMBL3989868,tucatinib,4.0,Small molecule,12,tucatinib|tucatinib|tukysa,arry-380|mk-7119|ont-380
CHEMBL3989870,berzosertib,2.0,Small molecule,19,berzosertib|berzosertib,m-6620|m6620|ve-822|vx-970|vx970
CHEMBL3989885,trimeprazine tartrate,4.0,Small molecule,14,temaril|trimeprazine tartrate|vallergan|vallergan fte,nsc-17475|nsc-757358
CHEMBL3989916,tigilanol tiglate,2.0,Small molecule,9,stelfonta|tigilanol tiglate|tigilanol tiglate,ebc-46|ebi-46
CHEMBL3989921,neratinib maleate,4.0,Small molecule,5,nerlynx,
CHEMBL3989922,niraparib tosylate monohydrate,4.0,Small molecule,16,niraparib tosylate|niraparib tosylate component of akeega|niraparib tosylate monohydrate|niraparib tosylate monohydrate component of akeega  niraparib tosylate|zejula,gsk-3985771|gsk3985771|mk-4827|mk-4827 tosylate monohydrate
CHEMBL3989926,sitravatinib,3.0,Small molecule,8,sitravatinib|sitravatinib,mg-516|mg-91516|mgcd-516|mgcd516
CHEMBL3989939,larotrectinib sulfate,4.0,Small molecule,7,larotrectinib sulfate|vitrakvi,arry-470 sulfate|loxo-101 sulfate
CHEMBL3989958,ivosidenib,4.0,Small molecule,9,ivosidenib|ivosidenib|tibsovo,ag-120
CHEMBL3989976,pegvorhyaluronidase alfa,2.0,Enzyme,6,pegvorhyaluronidase alfa|pegvorhyaluronidase alfa,pegph-20|pegph20
CHEMBL3989989,axicabtagene ciloleucel,4.0,Gene,9,axicabtagene ciloleucel|axicabtagene ciloleucel|yescarta,kte-c19
CHEMBL3989990,istiratumab,2.0,Antibody,5,istiratumab|istiratumab,mm-005|mm-141
CHEMBL3989992,pegilodecakin,3.0,Protein,9,pegilodecakin|pegilodecakin,am-0010|am0010|ly-3500518|ly3500518
CHEMBL3990006,dociparstat sodium,3.0,Unknown,7,dociparstat sodium|dociparstat sodium,gm-1892|odsh
CHEMBL3990011,rovalpituzumab tesirine,3.0,Antibody drug conjugate,10,rovalpituzumab tesirine|rovalpituzumab tesirine,sc0002|sc-002|sc-16ld6.5|sc16ld6.5|sc16ld6.5-adc
CHEMBL3990016,oleclumab,3.0,Antibody,5,oleclumab|oleclumab,medi-9447|medi9447
CHEMBL3990022,vonlerolizumab,2.0,Antibody,12,vonlerolizumab|vonlerolizumab,moxr-0916|moxr0916|r0-7021608|r07021608|rg-7888
CHEMBL3990023,tozuleristide,2.0,Protein,5,tozuleristide|tozuleristide,blz-100
CHEMBL3990026,elapegademase,4.0,Enzyme,10,elapegademase|elapegademase|revcovi,ezn-2279|ezn2279
CHEMBL3990040,nalotimagene carmaleucel,3.0,Gene,5,nalotimagene carmaleucel|nalotimagene carmaleucel,hsv-tk
CHEMBL3990041,nadofaragene firadenovec,3.0,Gene,10,instiladrin|nadofaragene firadenovec|nadofaragene firadenovec,rad-ifn|rad-ifn-2b
CHEMBL3990044,relatlimab,4.0,Antibody,10,relatlimab|relatlimab|relatlimab component of bms-986213|relatlimab component of opdualag  -rmbw,bms-986016
CHEMBL402548,danusertib,2.0,Small molecule,6,danusertib,
